Date,Customer,Product,Category,Quantity,Price,Revenue
2026-02-17,Customer_3,Router,Office,2,342.48,684.96
2026-03-02,Customer_13,Mouse,Accessories,10,134.41,1344.1
2026-06-02,Customer_2,Router,Office,2,218.32,436.64
2026-05-30,Customer_19,Speaker,Accessories,6,468.33,2809.98
2026-02-22,Customer_22,Webcam,Electronics,4,143.82,575.28
2026-02-03,Customer_22,Headphones,Accessories,8,168.35,1346.8
2026-01-19,Customer_1,Tablet,Electronics,10,499.25,4992.5
2026-01-26,Customer_3,Speaker,Accessories,4,260.35,1041.4
2026-02-03,Customer_12,Mouse,Accessories,4,194.22,776.88
2026-02-10,Customer_15,Speaker,Accessories,5,311.66,1558.3
2026-06-17,Customer_17,Laptop,Electronics,9,160.2,
2026-06-19,Customer_4,Keyboard,Accessories,5,70.98,354.9
2026-01-28,Customer_24,Speaker,Accessories,3,147.09,441.27
2026-06-04,Customer_7,Webcam,Electronics,4,348.44,1393.76
2026-03-09,Customer_17,Tablet,Electronics,5,454.09,2270.45
2026-01-14,Customer_3,Printer,Office,5,36.38,181.9
2026-03-27,Customer_25,Keyboard,Accessories,5,93.37,466.85
2026-04-24,Customer_18,Printer,Office,9,19.69,177.21
2026-01-20,Customer_23,Keyboard,Accessories,9,32.47,292.23
2026-04-05,Customer_19,Speaker,Accessories,3,223.45,670.35
2026-01-11,Customer_10,Webcam,Electronics,1,450.98,450.98
2026-02-23,Customer_22,Monitor,Electronics,2,186.53,373.06
2026-05-24,Customer_14,Router,Office,3,464.0,1392.0
2026-03-02,Customer_6,Keyboard,Accessories,7,27.02,
2026-03-27,Customer_14,Monitor,Electronics,5,92.21,461.05
2026-06-29,Customer_4,Printer,Office,1,431.42,431.42
2026-02-26,Customer_7,Tablet,Electronics,6,163.02,978.12
2026-02-28,Customer_8,Laptop,Electronics,4,208.26,833.04
2026-03-13,Customer_3,Headphones,Accessories,6,326.12,1956.72
2026-04-13,Customer_22,Speaker,Accessories,6,470.53,2823.18
2026-01-30,Customer_9,Keyboard,Accessories,10,481.83,4818.3
2026-03-09,Customer_2,Mouse,Accessories,10,225.76,2257.6
2026-03-22,Customer_14,Router,Office,9,71.09,639.81
2026-05-28,Customer_7,Headphones,Accessories,1,358.76,358.76
2026-01-01,Customer_17,Speaker,Accessories,4,191.65,766.6
2026-01-18,Customer_22,Webcam,Electronics,10,167.25,1672.5
2026-02-01,Customer_24,Headphones,Accessories,9,165.0,1485.0
2026-04-15,Customer_11,Printer,Office,5,283.89,1419.45
2026-02-19,Customer_14,Printer,Office,3,313.52,940.56
2026-03-19,Customer_13,Speaker,Accessories,1,162.38,162.38
2026-02-23,Customer_14,Router,Office,10,332.53,3325.3
2026-04-30,Customer_15,Tablet,Electronics,4,262.92,1051.68
2026-02-13,Customer_22,Mouse,Accessories,5,264.99,1324.95
2026-06-12,Customer_20,Webcam,Electronics,2,411.94,823.88
2026-03-02,Customer_22,Headphones,Accessories,4,406.18,1624.72
2026-02-07,Customer_1,Laptop,Electronics,4,492.21,1968.84
2026-06-06,Customer_25,Mouse,Accessories,8,216.0,1728.0
2026-06-11,Customer_19,Monitor,Electronics,7,254.77,1783.39
2026-03-04,Customer_5,Laptop,Electronics,2,392.53,785.06
2026-02-26,Customer_6,Speaker,Accessories,8,39.36,314.88
2026-03-05,Customer_4,Tablet,Electronics,3,403.69,1211.07
2026-06-20,Customer_17,Speaker,Accessories,10,168.89,1688.9
2026-04-24,Customer_20,Speaker,Accessories,7,417.83,2924.81
2026-05-21,Customer_15,Keyboard,Accessories,8,233.28,1866.24
2026-03-05,Customer_21,Headphones,Accessories,9,250.03,2250.27
2026-03-03,Customer_9,Tablet,Electronics,2,361.07,722.14
2026-03-02,Customer_9,Webcam,Electronics,6,448.12,2688.72
2026-01-21,Customer_5,Keyboard,Accessories,4,200.77,803.08
2026-02-09,Customer_23,Monitor,Electronics,2,216.21,432.42
2026-03-26,Customer_18,Tablet,Electronics,7,45.2,316.4
2026-04-18,Customer_13,Router,Office,1,430.52,430.52
2026-05-28,Customer_13,Tablet,Electronics,1,472.23,472.23
2026-03-18,Customer_25,Printer,Office,7,276.04,1932.28
2026-05-20,Customer_20,Monitor,Electronics,8,121.42,971.36
2026-04-22,Customer_16,Laptop,Electronics,7,178.02,1246.14
2026-06-23,Customer_13,Keyboard,Accessories,8,460.98,3687.84
2026-06-09,,Laptop,Electronics,7,302.07,2114.49
2026-06-19,Customer_1,Mouse,Accessories,7,80.81,565.67
2026-04-29,Customer_6,Laptop,Electronics,5,198.87,994.35
2026-02-24,Customer_15,Webcam,Electronics,6,384.2,2305.2
2026-04-08,Customer_9,Printer,Office,5,419.93,2099.65
2026-05-01,Customer_1,Speaker,Accessories,1,499.96,499.96
2026-03-31,Customer_8,Mouse,Accessories,1,380.8,380.8
2026-03-05,Customer_7,Laptop,Electronics,10,88.91,889.1
2026-02-02,,Mouse,Accessories,10,474.66,4746.6
2026-04-30,,Headphones,Accessories,6,96.38,578.28
2026-06-05,Customer_24,Mouse,Accessories,3,482.89,1448.67
2026-01-28,Customer_19,Laptop,Electronics,5,294.26,1471.3
2026-04-07,Customer_13,Monitor,Electronics,2,302.17,604.34
2026-06-10,Customer_8,Mouse,Accessories,5,427.39,2136.95
2026-06-03,Customer_4,Router,Office,1,183.39,183.39
2026-04-20,Customer_22,Webcam,Electronics,2,260.39,520.78
2026-03-29,Customer_1,Printer,Office,8,66.19,529.52
2026-04-03,Customer_21,Tablet,Electronics,3,226.21,678.63
2026-05-14,Customer_21,Headphones,Accessories,10,406.98,4069.8
2026-05-18,Customer_25,Tablet,Electronics,8,226.25,1810.0
2026-06-01,Customer_9,Webcam,Electronics,4,417.9,1671.6
2026-01-23,Customer_9,Tablet,Electronics,4,378.98,1515.92
2026-05-26,Customer_20,Printer,Office,6,28.92,173.52
2026-03-25,Customer_6,Tablet,Electronics,4,187.09,748.36
2026-03-08,Customer_11,Headphones,Accessories,10,355.07,3550.7
2026-03-12,Customer_18,Laptop,Electronics,9,474.81,4273.29
2026-01-22,Customer_8,Printer,Office,8,284.26,2274.08
2026-03-03,Customer_23,Tablet,Electronics,8,232.36,1858.88
2026-01-05,Customer_3,Headphones,Accessories,4,211.13,844.52
2026-03-04,Customer_10,Router,Office,6,244.53,
2026-05-16,Customer_12,Printer,Office,9,175.43,1578.87
2026-06-29,Customer_15,Headphones,Accessories,5,136.93,684.65
2026-01-31,Customer_24,Monitor,Electronics,6,72.98,437.88
2026-05-18,Customer_25,Keyboard,Accessories,4,119.95,479.8
2026-05-04,Customer_9,Router,Office,9,304.44,2739.96
2026-01-26,Customer_7,Headphones,Accessories,4,190.03,760.12
2026-03-19,Customer_1,Speaker,Accessories,3,148.04,444.12
2026-01-14,Customer_18,Headphones,Accessories,3,324.37,973.11
2026-05-06,Customer_4,Laptop,Electronics,10,152.9,1529.0
2026-05-03,Customer_15,Webcam,Electronics,3,483.27,1449.81
2026-03-06,Customer_16,Mouse,Accessories,2,209.34,418.68
2026-01-19,Customer_19,Laptop,Electronics,3,87.36,262.08
2026-05-25,Customer_10,Mouse,Accessories,4,72.45,289.8
2026-04-17,Customer_20,Router,Office,10,124.46,1244.6
2026-05-14,Customer_13,Tablet,Electronics,8,159.22,1273.76
2026-05-31,Customer_14,Headphones,Accessories,10,316.2,3162.0
2026-06-06,Customer_24,Mouse,Accessories,4,318.37,1273.48
2026-03-09,Customer_22,Mouse,Accessories,3,131.33,393.99
2026-05-22,Customer_3,Keyboard,Accessories,1,213.13,213.13
2026-06-26,Customer_20,Tablet,Electronics,5,30.83,154.15
2026-03-15,Customer_23,Headphones,Accessories,8,49.52,396.16
2026-03-01,Customer_9,Router,Office,4,221.19,884.76
2026-05-20,Customer_8,Keyboard,Accessories,5,415.92,2079.6
2026-01-19,Customer_2,Keyboard,Accessories,5,303.6,1518.0
2026-05-26,Customer_10,Tablet,Electronics,2,242.32,484.64
2026-03-19,Customer_23,Printer,Office,5,257.73,1288.65
2026-05-07,Customer_15,Mouse,Accessories,10,34.33,343.3
2026-04-21,Customer_24,Webcam,Electronics,10,136.43,
2026-01-24,Customer_8,Router,Office,10,476.13,4761.3
2026-06-22,Customer_9,Router,Office,1,385.11,385.11
2026-02-14,Customer_16,Speaker,Accessories,8,459.3,3674.4
2026-02-16,Customer_19,Printer,Office,8,484.99,3879.92
2026-05-01,Customer_12,Printer,Office,6,170.71,1024.26
2026-01-27,Customer_6,Webcam,Electronics,7,351.43,2460.01
2026-03-15,Customer_22,Printer,Office,9,32.8,295.2
2026-01-23,Customer_11,Headphones,Accessories,6,71.22,427.32
2026-04-14,Customer_17,Laptop,Electronics,9,239.06,2151.54
2026-01-14,Customer_7,Speaker,Accessories,6,316.98,1901.88
2026-05-08,Customer_21,Tablet,Electronics,1,113.73,113.73
2026-05-21,Customer_5,Headphones,Accessories,8,442.21,3537.68
2026-05-05,Customer_4,Laptop,Electronics,10,402.67,4026.7
2026-02-10,Customer_10,Speaker,Accessories,1,282.84,282.84
2026-01-24,Customer_8,Mouse,Accessories,8,474.32,3794.56
2026-06-15,Customer_5,Tablet,Electronics,5,261.8,1309.0
2026-03-11,Customer_14,Tablet,Electronics,8,133.21,1065.68
2026-05-22,Customer_5,Printer,Office,4,462.11,1848.44
2026-05-11,Customer_24,Keyboard,Accessories,2,148.98,297.96
2026-04-17,Customer_11,Speaker,Accessories,5,412.97,2064.85
2026-03-14,Customer_24,Headphones,Accessories,10,296.26,2962.6
2026-06-18,Customer_16,Keyboard,Accessories,8,276.21,2209.68
2026-03-30,Customer_11,Speaker,Accessories,9,197.95,1781.55
2026-03-24,Customer_7,Monitor,Electronics,10,200.74,2007.4
2026-04-16,Customer_2,Webcam,Electronics,8,357.04,
2026-04-08,Customer_13,Keyboard,Accessories,8,482.94,3863.52
2026-02-02,Customer_17,Router,Office,6,436.8,2620.8
2026-04-23,Customer_4,Speaker,Accessories,8,22.44,179.52
2026-02-06,Customer_14,Keyboard,Accessories,2,242.7,485.4
2026-03-09,Customer_11,Router,Office,7,330.17,2311.19
2026-03-26,Customer_22,Speaker,Accessories,7,477.76,3344.32
2026-06-10,Customer_23,Tablet,Electronics,9,32.41,291.69
2026-01-18,Customer_8,Headphones,Accessories,4,377.18,1508.72
2026-04-22,Customer_4,Mouse,Accessories,8,95.69,765.52
2026-03-18,Customer_1,Laptop,Electronics,6,401.13,2406.78
2026-03-17,Customer_12,Webcam,Electronics,7,85.6,599.2
2026-05-16,Customer_14,Router,Office,3,97.44,292.32
2026-01-21,Customer_20,Printer,Office,10,346.32,3463.2
2026-05-08,Customer_19,Keyboard,Accessories,4,238.66,954.64
2026-03-07,Customer_15,Headphones,Accessories,1,450.97,450.97
2026-04-30,Customer_10,Speaker,Accessories,3,50.82,152.46
2026-03-30,Customer_19,Headphones,Accessories,7,349.8,2448.6
2026-04-27,Customer_10,Monitor,Electronics,7,428.87,3002.09
2026-01-28,Customer_8,Printer,Office,10,189.1,1891.0
2026-03-17,Customer_23,Headphones,Accessories,1,489.3,489.3
2026-06-18,Customer_13,Headphones,Accessories,1,289.48,289.48
2026-06-25,Customer_25,Laptop,Electronics,10,376.41,3764.1
2026-03-15,Customer_25,Monitor,Electronics,10,403.94,4039.4
2026-02-26,Customer_21,Monitor,Electronics,10,136.55,1365.5
2026-06-18,Customer_22,Keyboard,Accessories,2,453.15,906.3
2026-06-15,Customer_2,Headphones,Accessories,8,31.18,249.44
2026-04-04,Customer_24,Keyboard,Accessories,2,456.17,912.34
2026-03-25,Customer_24,Printer,Office,3,112.39,337.17
2026-05-19,Customer_12,Speaker,Accessories,9,458.04,4122.36
2026-02-12,Customer_9,Tablet,Electronics,5,377.08,1885.4
2026-03-28,Customer_4,Tablet,Electronics,2,83.27,166.54
2026-02-27,Customer_22,Printer,Office,9,192.4,1731.6
2026-04-12,Customer_1,Headphones,Accessories,9,74.94,674.46
2026-04-05,Customer_22,Headphones,Accessories,10,199.8,1998.0
2026-06-13,Customer_12,Mouse,Accessories,4,243.67,974.68
2026-06-08,Customer_18,Webcam,Electronics,10,122.36,1223.6
2026-01-17,Customer_21,Tablet,Electronics,5,329.88,1649.4
2026-01-30,Customer_5,Laptop,Electronics,1,162.62,162.62
2026-05-07,Customer_4,Mouse,Accessories,4,445.32,1781.28
2026-02-04,Customer_13,Tablet,Electronics,6,340.19,2041.14
2026-06-28,Customer_18,Printer,Office,10,375.0,3750.0
2026-02-09,Customer_14,Mouse,Accessories,8,313.59,2508.72
2026-03-13,Customer_2,Webcam,Electronics,4,230.04,920.16
2026-03-02,Customer_12,Mouse,Accessories,6,279.07,1674.42
2026-06-15,Customer_12,Laptop,Electronics,7,148.8,1041.6
2026-02-01,Customer_15,Mouse,Accessories,4,326.23,1304.92
2026-06-02,Customer_1,Laptop,Electronics,6,133.13,798.78
2026-02-02,Customer_19,Monitor,Electronics,2,417.46,834.92
2026-05-22,Customer_7,Router,Office,4,409.33,1637.32
2026-03-01,Customer_11,Keyboard,Accessories,10,16.38,163.8
2026-02-07,Customer_5,Speaker,Accessories,5,402.28,2011.4
2026-01-29,Customer_22,Laptop,Electronics,3,22.21,66.63
2026-03-02,Customer_19,Webcam,Electronics,1,99.51,99.51
2026-01-14,Customer_5,Printer,Office,9,70.12,631.08
2026-01-17,Customer_16,Tablet,Electronics,6,263.92,1583.52
2026-01-28,Customer_15,Speaker,Accessories,4,473.53,1894.12
2026-01-12,Customer_24,Speaker,Accessories,5,237.15,1185.75
2026-01-08,Customer_2,Tablet,Electronics,7,221.74,1552.18
2026-01-28,Customer_16,Tablet,Electronics,2,451.14,902.28
2026-03-24,Customer_20,Keyboard,Accessories,2,76.2,152.4
2026-06-09,,Router,Office,9,360.39,3243.51
2026-04-08,Customer_20,Speaker,Accessories,5,235.05,1175.25
2026-06-04,Customer_14,Mouse,Accessories,2,428.6,857.2
2026-06-16,Customer_25,Speaker,Accessories,4,223.58,894.32
2026-02-28,Customer_14,Webcam,Electronics,8,208.38,1667.04
2026-01-25,Customer_11,Printer,Office,6,337.58,2025.48
2026-04-06,Customer_5,Tablet,Electronics,2,59.24,118.48
2026-01-22,Customer_3,Printer,Office,2,376.13,752.26
2026-04-06,Customer_5,Speaker,Accessories,1,299.44,299.44
2026-05-24,Customer_18,Webcam,Electronics,2,214.24,428.48
2026-06-20,Customer_25,Printer,Office,1,484.67,484.67
2026-06-03,Customer_10,Webcam,Electronics,2,295.29,590.58
2026-02-24,Customer_5,Tablet,Electronics,4,425.93,1703.72
2026-03-31,Customer_18,Webcam,Electronics,2,384.86,769.72
2026-05-27,Customer_8,Printer,Office,9,487.66,4388.94
2026-06-09,Customer_20,Speaker,Accessories,1,310.36,310.36
2026-06-18,Customer_23,Headphones,Accessories,1,102.5,102.5
2026-06-29,Customer_25,Headphones,Accessories,6,185.25,1111.5
2026-02-16,Customer_5,Router,Office,7,48.75,341.25
2026-06-12,Customer_1,Mouse,Accessories,9,119.34,1074.06
2026-04-18,Customer_15,Webcam,Electronics,3,194.48,583.44
2026-03-25,Customer_25,Router,Office,10,56.2,562.0
2026-01-14,Customer_5,Keyboard,Accessories,10,39.13,391.3
2026-01-21,Customer_9,Tablet,Electronics,7,250.55,1753.85
2026-04-24,Customer_14,Headphones,Accessories,4,381.15,1524.6
2026-01-30,Customer_12,Printer,Office,2,152.37,304.74
2026-06-23,Customer_19,Tablet,Electronics,9,338.56,3047.04
2026-01-12,Customer_8,Printer,Office,10,41.57,415.7
2026-02-22,Customer_10,Monitor,Electronics,3,385.62,1156.86
2026-03-16,Customer_11,Mouse,Accessories,1,256.23,256.23
2026-04-21,Customer_6,Keyboard,Accessories,7,273.3,1913.1
2026-02-28,Customer_17,Speaker,Accessories,6,49.96,299.76
2026-01-11,Customer_14,Laptop,Electronics,8,461.76,3694.08
2026-03-22,Customer_19,Printer,Office,10,211.15,2111.5
2026-06-13,Customer_14,Headphones,Accessories,2,211.44,422.88
2026-03-25,Customer_6,Router,Office,8,418.53,3348.24
2026-04-03,Customer_3,Printer,Office,2,133.01,266.02
2026-05-31,Customer_13,Speaker,Accessories,2,206.95,413.9
2026-03-21,Customer_24,Webcam,Electronics,4,176.54,706.16
2026-02-13,Customer_3,Speaker,Accessories,2,272.34,544.68
2026-02-19,Customer_25,Webcam,Electronics,6,367.78,2206.68
2026-06-15,Customer_5,Monitor,Electronics,2,86.03,
2026-02-20,Customer_6,Router,Office,3,383.7,1151.1
2026-06-17,Customer_3,Keyboard,Accessories,8,240.02,1920.16
2026-05-25,Customer_25,Router,Office,8,345.35,2762.8
2026-05-25,Customer_21,Router,Office,6,434.16,2604.96
2026-06-10,Customer_11,Keyboard,Accessories,8,48.12,384.96
2026-04-24,Customer_21,Headphones,Accessories,5,301.84,1509.2
2026-04-01,Customer_17,Mouse,Accessories,5,238.95,1194.75
2026-01-10,Customer_2,Webcam,Electronics,5,52.21,261.05
2026-01-24,Customer_20,Router,Office,9,201.47,1813.23
2026-05-29,Customer_18,Laptop,Electronics,8,455.89,3647.12
2026-05-27,Customer_21,Monitor,Electronics,6,308.43,1850.58
2026-05-09,Customer_5,Laptop,Electronics,8,65.2,521.6
2026-03-29,Customer_23,Mouse,Accessories,9,328.37,2955.33
2026-01-11,Customer_8,Tablet,Electronics,8,269.17,2153.36
2026-06-06,Customer_6,Webcam,Electronics,6,460.2,2761.2
2026-04-10,Customer_14,Webcam,Electronics,10,40.4,404.0
2026-06-11,Customer_21,Webcam,Electronics,2,174.9,349.8
2026-05-23,Customer_22,Printer,Office,5,137.22,686.1
2026-06-18,Customer_20,Keyboard,Accessories,6,54.53,327.18
2026-06-19,Customer_5,Webcam,Electronics,5,484.33,2421.65
2026-06-28,Customer_22,Printer,Office,3,303.59,910.77
2026-01-22,Customer_10,Speaker,Accessories,7,327.09,2289.63
2026-03-26,Customer_5,Speaker,Accessories,2,328.32,656.64
2026-04-19,Customer_17,Webcam,Electronics,1,190.86,190.86
2026-02-16,Customer_7,Webcam,Electronics,8,108.12,864.96
2026-02-05,Customer_5,Mouse,Accessories,5,424.55,2122.75
2026-01-26,Customer_17,Speaker,Accessories,9,33.31,299.79
2026-03-28,Customer_25,Router,Office,3,304.66,913.98
2026-02-09,Customer_6,Keyboard,Accessories,10,407.39,4073.9
2026-02-12,Customer_24,Tablet,Electronics,1,214.27,214.27
2026-06-23,Customer_24,Monitor,Electronics,8,311.14,2489.12
2026-04-25,Customer_8,Speaker,Accessories,4,165.09,660.36
2026-05-01,Customer_7,Webcam,Electronics,10,492.45,4924.5
2026-04-29,Customer_25,Headphones,Accessories,7,258.91,1812.37
2026-04-18,Customer_6,Monitor,Electronics,10,82.12,821.2
2026-03-06,Customer_2,Tablet,Electronics,6,283.95,1703.7
2026-01-27,Customer_23,Speaker,Accessories,2,153.26,306.52
2026-02-11,Customer_9,Tablet,Electronics,9,86.46,778.14
2026-04-22,Customer_3,Monitor,Electronics,8,444.05,3552.4
2026-01-07,Customer_14,Laptop,Electronics,7,258.47,1809.29
2026-03-02,Customer_13,Mouse,Accessories,6,123.9,743.4
2026-03-23,Customer_4,Webcam,Electronics,3,81.74,245.22
2026-03-15,Customer_16,Keyboard,Accessories,8,232.57,1860.56
2026-01-02,Customer_3,Laptop,Electronics,5,119.59,597.95
2026-02-08,Customer_18,Router,Office,9,220.28,1982.52
2026-03-15,Customer_8,Headphones,Accessories,2,38.16,76.32
2026-04-18,Customer_21,Router,Office,8,45.46,363.68
2026-05-08,Customer_20,Speaker,Accessories,1,321.5,321.5
2026-05-28,Customer_8,Keyboard,Accessories,5,223.18,1115.9
2026-06-07,Customer_12,Monitor,Electronics,10,217.04,2170.4
2026-06-20,Customer_22,Mouse,Accessories,9,487.71,4389.39
2026-01-18,Customer_17,Speaker,Accessories,9,396.41,3567.69
2026-05-10,Customer_18,Laptop,Electronics,7,438.57,3069.99
2026-01-12,Customer_21,Printer,Office,6,138.02,828.12
2026-01-05,,Mouse,Accessories,6,131.95,791.7
2026-06-18,Customer_21,Mouse,Accessories,10,371.57,3715.7
2026-03-27,Customer_5,Laptop,Electronics,6,279.82,1678.92
2026-06-14,Customer_6,Tablet,Electronics,8,321.39,2571.12
2026-02-04,Customer_3,Tablet,Electronics,1,157.32,157.32
2026-01-12,Customer_7,Laptop,Electronics,6,467.68,2806.08
2026-05-12,Customer_13,Speaker,Accessories,8,137.86,1102.88
2026-06-15,Customer_7,Headphones,Accessories,6,433.14,2598.84
2026-01-13,Customer_21,Webcam,Electronics,5,75.37,376.85
2026-04-05,Customer_14,Printer,Office,8,448.9,3591.2
2026-04-09,Customer_11,Keyboard,Accessories,8,350.65,2805.2
2026-04-05,Customer_17,Headphones,Accessories,2,367.63,735.26
2026-01-21,Customer_14,Router,Office,3,279.56,838.68
2026-03-24,Customer_4,Mouse,Accessories,6,335.55,
2026-03-20,Customer_15,Router,Office,7,95.82,670.74
2026-04-24,Customer_12,Tablet,Electronics,1,367.5,367.5
2026-04-01,Customer_20,Printer,Office,5,325.14,1625.7
2026-01-15,Customer_3,Printer,Office,6,263.85,1583.1
2026-06-23,Customer_6,Laptop,Electronics,3,426.6,1279.8
2026-06-23,Customer_15,Laptop,Electronics,3,47.61,142.83
2026-06-15,Customer_12,Webcam,Electronics,7,475.49,3328.43
2026-01-09,Customer_20,Keyboard,Accessories,8,475.18,3801.44
2026-04-06,Customer_15,Mouse,Accessories,10,81.78,817.8
2026-04-04,Customer_13,Webcam,Electronics,5,136.06,680.3
2026-01-30,Customer_1,Keyboard,Accessories,8,266.11,2128.88
2026-05-24,Customer_4,Headphones,Accessories,5,356.46,1782.3
2026-02-24,Customer_20,Headphones,Accessories,8,112.09,896.72
2026-02-04,Customer_3,Tablet,Electronics,3,450.86,1352.58
2026-04-24,Customer_3,Webcam,Electronics,6,359.13,2154.78
2026-05-21,Customer_18,Headphones,Accessories,5,427.91,2139.55
2026-06-29,Customer_21,Keyboard,Accessories,6,261.75,1570.5
2026-02-01,Customer_7,Keyboard,Accessories,4,398.33,1593.32
2026-01-07,Customer_12,Speaker,Accessories,10,193.92,1939.2
2026-05-22,Customer_5,Router,Office,2,46.89,93.78
2026-04-12,Customer_23,Tablet,Electronics,9,214.24,1928.16
2026-04-15,Customer_19,Mouse,Accessories,3,486.6,1459.8
2026-06-14,Customer_3,Tablet,Electronics,8,344.85,2758.8
2026-03-30,Customer_5,Speaker,Accessories,10,103.25,1032.5
2026-02-03,Customer_14,Speaker,Accessories,1,418.22,418.22
2026-05-13,Customer_5,Headphones,Accessories,3,93.55,280.65
2026-02-27,Customer_12,Speaker,Accessories,5,425.28,
2026-03-06,Customer_7,Speaker,Accessories,5,75.71,378.55
2026-03-19,Customer_20,Speaker,Accessories,2,258.75,517.5
2026-02-13,Customer_19,Router,Office,3,98.03,294.09
2026-06-09,Customer_24,Router,Office,6,423.63,2541.78
2026-05-25,Customer_2,Laptop,Electronics,2,37.05,74.1
2026-06-14,Customer_25,Router,Office,5,330.8,1654.0
2026-05-27,Customer_14,Router,Office,1,256.55,256.55
2026-06-10,Customer_18,Headphones,Accessories,5,249.23,1246.15
2026-06-25,,Headphones,Accessories,8,50.39,403.12
2026-01-16,Customer_6,Tablet,Electronics,7,249.86,1749.02
2026-02-22,Customer_11,Router,Office,3,166.6,499.8
2026-03-23,Customer_24,Webcam,Electronics,7,78.42,548.94
2026-04-05,Customer_17,Speaker,Accessories,2,169.77,339.54
2026-04-30,Customer_4,Headphones,Accessories,8,135.24,1081.92
2026-01-25,Customer_2,Headphones,Accessories,7,434.12,3038.84
2026-04-18,Customer_8,Keyboard,Accessories,6,467.87,2807.22
2026-03-22,Customer_7,Keyboard,Accessories,8,498.05,3984.4
2026-04-30,Customer_16,Headphones,Accessories,8,26.24,209.92
2026-04-11,Customer_17,Tablet,Electronics,4,119.35,477.4
2026-04-01,Customer_2,Laptop,Electronics,5,255.02,1275.1
2026-06-17,Customer_22,Tablet,Electronics,5,275.3,1376.5
2026-01-28,Customer_14,Keyboard,Accessories,5,367.84,1839.2
